Group,Item,Part Type,Variant ,Color,Qty,,,,,,,,
Pokeball Original Collection,Pokeball,Upper Shell,A,Scarlet Red,1,,,,,,,,
Pokeball Original Collection,Pokeball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Pokeball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Pokeball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Pokeball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Pokeball,Lower Shell,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Premier Ball,Upper Shell,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Premier Ball,Locator Disk,A,Scarlet Red,1,,,,,,,,
Pokeball Original Collection,Premier Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Premier Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Premier Ball,Central Button,A,Scarlet Red,1,,,,,,,,
Pokeball Original Collection,Premier Ball,Lower Shell,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Decorator,A,Scarlet Red,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Decorator,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Upper Shell,B,Ivory White,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Decorator,C,Scarlet Red,2,,,,,,,,
Pokeball Original Collection,Timer Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Central Button,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Lower Shell,B,Ivory White,1,,,,,,,,
Pokeball Original Collection,Timer Ball,Decorator,D,Scarlet Red,2,,,,,,,,
Pokeball Original Collection,Net Ball,Upper Shell,C,Charcoal,1,,,,,,,,
Pokeball Original Collection,Net Ball,Decorator,E,Ice Marine Blue,4,,,,,,,,
Pokeball Original Collection,Net Ball,Decorator,F,Ice Marine Blue,4,,,,,,,,
Pokeball Original Collection,Net Ball,Decorator,G,Ice Marine Blue,2,,,,,,,,
Pokeball Original Collection,Net Ball,Decorator,H,Ice Marine Blue,2,,,,,,,,
Pokeball Original Collection,Net Ball,Decorator,I,Ice Marine Blue,2,,,,,,,,
Pokeball Original Collection,Net Ball,Decorator,J,Ice Marine Blue,1,,,,,,,,
Pokeball Original Collection,Net Ball,Decorator,K,Ice Marine Blue,1,,,,,,,,
Pokeball Original Collection,Net Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Net Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Net Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Net Ball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Net Ball,Lower Shell,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,GS Ball,Upper Shell,A,Lemon Yellow,1,,,,,,,,
Pokeball Original Collection,GS Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,GS Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,GS Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,GS Ball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,GS Ball,Lower Shell,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Moon Ball,Decorator,L,Lemon Yellow,1,,,,,,,,
Pokeball Original Collection,Moon Ball,Upper Shell ,D,Marine Blue,1,,,,,,,,
Pokeball Original Collection,Moon Ball,Upper Shell ,E,Charcoal,1,,,,,,,,
Pokeball Original Collection,Moon Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Moon Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Moon Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Moon Ball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Moon Ball,Lower Shell ,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Love Ball,Upper Shell ,F,Scarlet Red,1,,,,,,,,
Pokeball Original Collection,Love Ball,Decorator,M,Ivory White,1,,,,,,,,
Pokeball Original Collection,Love Ball,Decorator,N,Sakura Pink,1,,,,,,,,
Pokeball Original Collection,Love Ball,Decorator,O,Ivory White,1,,,,,,,,
Pokeball Original Collection,Love Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Love Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Love Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Love Ball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Love Ball,Lower Shell,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Clone Ball,Upper Shell,G,Dark Blue,1,,,,,,,,
Pokeball Original Collection,Clone Ball,Decorator,M,Lilac Purple,2,,,,,,,,
Pokeball Original Collection,Clone Ball,Locator Disk,B,Lilac Purple,1,,,,,,,,
Pokeball Original Collection,Clone Ball,Weighted Cube,A,Lilac Purple,1,,,,,,,,
Pokeball Original Collection,Clone Ball,Lower Shell,C,Dark Blue,1,,,,,,,,
Pokeball Original Collection,Clone Ball,Decorator,N,Charcoal,1,,,,,,,,
Pokeball Original Collection,Clone Ball,Central Ring,B,Lemon Yellow,1,,,,,,,,
Pokeball Original Collection,Clone Ball,Central Button,A,Scarlet Red,1,,,,,,,,
Pokeball Original Collection,Friend Ball,Upper Shell,H,Grass Green,1,,,,,,,,
Pokeball Original Collection,Friend Ball,Decorator,O,Scarlet Red,4,,,,,,,,
Pokeball Original Collection,Friend Ball,Decorator,P,Lemon Yellow,1,,,,,,,,
Pokeball Original Collection,Friend Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Friend Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Friend Ball,Lower Shell,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Friend Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Friend Ball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Dive Ball,Lower Shell,D,Dark Blue,1,,,,,,,,
Pokeball Original Collection,Dive Ball,Decorator,Q,Marine Blue,2,,,,,,,,
Pokeball Original Collection,Dive Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Dive Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Dive Ball,Upper Shell,I,Marine Blue,1,,,,,,,,
Pokeball Original Collection,Dive Ball,Decorator,R,Ivory White,1,,,,,,,,
